task,all_map,healthy_map,n_vox_union_mask,r,fisher_z,top_pct,thr_abs_all,thr_abs_healthy,dice_abs_top,jaccard_abs_top,n_abs_all_top,n_abs_healthy_top,n_abs_overlap_top,thr_pos_all,thr_pos_healthy,dice_pos_top,jaccard_pos_top,n_pos_all_top,n_pos_healthy_top,n_pos_overlap_top,sign_agreement_top_abs_union,n_sign_valid_top_abs_union,sign_agreement_top_abs_inter,n_sign_valid_top_abs_inter
IMPLICIT_EMOTION,all1_MyTest_z.nii.gz,health1_MyTest_z.nii.gz,193767,0.9420082236244938,1.755588334796938,10,1.7005928754806519,1.4080096483230589,0.8975073540795789,0.8140710574357534,19377,19377,17391,1.9524684071540839,1.7112208366394048,0.8315632821484137,0.7116887628090083,14664,14902,12293,0.9854889294574732,21363,1.0,17391
SHIFT,all2_MyTest_z.nii.gz,health2_withsiripada_MyTest_z.nii.gz,193767,0.5952329565984237,0.6857316793553108,10,1.0886053800582882,0.8165665745735168,0.5033802962274861,0.3363448275862069,19377,19377,9754,1.1357471704483033,1.0857554554939275,0.6767366784902953,0.5114149750015059,11670,13421,8490,0.8171724137931035,29000,1.0,9754
APPRAISAL,all3_MyTest_z.nii.gz,health3_MyTest_z.nii.gz,193767,0.6909230642411269,0.849719810861128,10,1.2138066768646234,0.5448805689811702,0.6464881044537338,0.4776375490906318,19377,19377,12527,1.513864326477051,0.755753469467164,0.5566886622675465,0.3857024106400665,14402,13937,7888,0.9466580241735616,26227,1.0,12527
